30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
-73.0,-78.0,-74.0,-80.0,-75.0,-74.0,-75.0,-69.0,-80.0,-71.0,-79.0,-78.0,-75.0,-80.0,-77.0,-76.0,-74.0,-80.0,-76.0,-76.0,-72.0,-70.0,-75.0,-65.0,-71.0,-77.0,-65.0,-69.0,-73.0,-80.0,-63.0,-71.0,-72.0,-65.0,-73.0,-74.0,-79.0,-70.0,-80.0,-76.0,-80.0,-73.0,-79.0,-78.0,-79.0,-80.0
-78.0,-77.0,-74.0,,-73.0,-72.0,-72.0,-71.0,-74.0,-79.0,-77.0,-75.0,-76.0,-79.0,-76.0,-77.0,-74.0,-73.0,-77.0,-80.0,-72.0,-58.0,-60.0,-69.0,-68.0,-71.0,-77.0,-70.0,-75.0,-69.0,-79.0,-73.0,-67.0,-66.0,-69.0,-79.0,-69.0,-71.0,-76.0,-79.0,-77.0,-78.0,-77.0,-79.0,-78.0,-80.0
-77.0,-71.0,-77.0,,-71.0,-72.0,-73.0,-80.0,-78.0,-70.0,-73.0,-75.0,-79.0,-70.0,-78.0,-77.0,-80.0,-80.0,-70.0,-80.0,-78.0,-60.0,-60.0,-58.0,-59.0,-69.0,-68.0,-77.0,-69.0,-76.0,-66.0,-61.0,-64.0,-72.0,-65.0,-61.0,-70.0,-78.0,-80.0,-80.0,-72.0,-79.0,-78.0,-77.0,-80.0,-80.0
,-76.0,-74.0,,-73.0,-69.0,-75.0,-67.0,-72.0,-71.0,-79.0,-74.0,-80.0,-72.0,-75.0,-71.0,-77.0,-78.0,-75.0,-70.0,-75.0,-73.0,-69.0,-70.0,-60.0,-67.0,-67.0,-70.0,-77.0,-70.0,-67.0,-66.0,-66.0,-71.0,-77.0,-78.0,-70.0,-79.0,-76.0,-75.0,-78.0,-78.0,-77.0,-76.0,-77.0,
,-75.0,-73.0,,,-71.0,,-75.0,,-74.0,-80.0,-74.0,-80.0,-73.0,-77.0,-73.0,-70.0,-80.0,-76.0,-80.0,-74.0,-60.0,-62.0,-75.0,-64.0,-78.0,-70.0,-71.0,-75.0,-70.0,-56.0,-70.0,-75.0,-78.0,-72.0,-75.0,-77.0,-71.0,-73.0,-80.0,-71.0,-77.0,-80.0,-77.0,-79.0,
,-80.0,-79.0,,,-71.0,,-76.0,,-79.0,-79.0,,-73.0,-80.0,-76.0,-76.0,-76.0,-77.0,-79.0,-80.0,-63.0,-67.0,-59.0,-65.0,-76.0,-78.0,-68.0,-69.0,-75.0,-64.0,-64.0,-66.0,-58.0,-71.0,-60.0,-70.0,-75.0,-68.0,-77.0,-79.0,-79.0,-79.0,-80.0,-77.0,-78.0,
,-80.0,-73.0,,,-70.0,,,,-75.0,-80.0,,,-80.0,-76.0,-69.0,-78.0,-78.0,-79.0,-75.0,-75.0,-62.0,-61.0,-62.0,-71.0,-74.0,-76.0,-68.0,-66.0,-75.0,-69.0,-75.0,-71.0,-64.0,-66.0,-64.0,-75.0,-69.0,-73.0,-75.0,-78.0,-75.0,-78.0,-78.0,-78.0,
,,-79.0,,,-73.0,,,,,-77.0,,,-79.0,-79.0,-79.0,-79.0,-73.0,-66.0,-78.0,-77.0,-55.0,-74.0,-70.0,-68.0,-64.0,-72.0,-72.0,-67.0,-73.0,-71.0,-67.0,-63.0,-69.0,-72.0,-74.0,-74.0,-64.0,-79.0,-77.0,-79.0,-76.0,-78.0,-80.0,,
,,,,,,,,,,-78.0,,,,-75.0,-79.0,-72.0,-80.0,-79.0,-70.0,-61.0,-66.0,-71.0,-72.0,-74.0,-74.0,-58.0,-67.0,-64.0,-72.0,-66.0,-77.0,-75.0,-61.0,-79.0,-71.0,-72.0,-71.0,-80.0,-77.0,-76.0,,,-77.0,,
,,,,,,,,,,-78.0,,,,-76.0,-78.0,-73.0,-78.0,-72.0,-80.0,-78.0,-64.0,-66.0,-65.0,-61.0,-71.0,-75.0,-69.0,-77.0,-77.0,-70.0,-60.0,-69.0,-73.0,-64.0,-73.0,-74.0,-73.0,-69.0,-77.0,-73.0,,,,,
,,,,,,,,,,-80.0,,,,,-72.0,-76.0,,,-79.0,-73.0,-63.0,-60.0,-65.0,-77.0,-72.0,-76.0,-70.0,-78.0,-66.0,-67.0,-70.0,-65.0,-63.0,-73.0,-72.0,-77.0,-75.0,-77.0,-78.0,-73.0,,,,,
,,,,,,,,,,-79.0,,,,,,-75.0,,,-80.0,-77.0,-78.0,-58.0,-58.0,-72.0,-75.0,-73.0,-73.0,-77.0,-65.0,-69.0,-65.0,,-69.0,-70.0,,-75.0,-74.0,-74.0,-79.0,-77.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,-65.0,,-67.0,,,-80.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,
